site,name,prov,type,lon,lat,alt,I,moveTimes,tag,period_date_begin,period_date_end,date_begin,date_end,n_all,n_period
54362,通化县,吉林,一般站,125.75,41.666666666666664,372.5,3141,4,2,1981-01-01,2000-12-31,1975-01-01,2018-12-31,16071,7305
54363,通化,吉林,基本站,125.9,41.68333333333333,402.9,3147,4,4,1959-01-01,2018-12-31,1951-01-01,2018-12-31,24837,21915
54365,桓仁,辽宁,基本站,125.35,41.266666666666666,240.3,3151,5,4,1960-02-01,2003-06-30,1952-07-01,2018-12-31,24290,15856
54371,白山,吉林,一般站,126.43333333333334,41.93333333333333,520.6,3153,1,1,1981-01-01,2018-12-31,1981-01-01,2018-12-31,13879,13879
54374,临江,吉林,基本站,126.91666666666667,41.71666666666667,332.5,3157,6,4,1960-01-01,1989-12-31,1953-01-01,2018-12-31,24106,10958
54377,集安,吉林,基本站,126.15,41.1,177.7,3164,6,5,1978-01-01,2011-06-30,1954-01-01,2018-12-31,23741,12234
54386,长白,吉林,基本站,128.16666666666666,41.35,1016.7,3172,8,7,1973-01-01,1998-12-31,1956-12-01,2018-12-31,22676,9496
54398,顺义,北京,一般站,116.65,40.15,38.5,3175,7,2,1964-01-01,1982-08-31,1959-08-01,2018-12-31,21703,6818
54399,海淀,北京,一般站,116.28333333333333,39.983333333333334,45.8,3187,7,7,2004-01-01,2018-12-31,1959-01-01,2018-12-31,21915,5479
54401,张家口,河北,基本站,114.88333333333334,40.78333333333333,724.2,3192,6,5,1983-01-01,2011-12-31,1956-01-01,2018-12-31,23011,10592
54404,赤城,河北,一般站,115.83333333333333,40.9,886.7,3197,4,3,1980-01-01,2007-12-31,1960-01-01,2018-12-31,21550,10227
54405,怀来,河北,基本站,115.5,40.4,536.8,3202,6,4,1977-11-01,2007-12-31,1954-01-01,2018-12-31,23741,11018
54406,延庆,北京,基本站,115.95,40.45,489.0,3205,3,1,1959-01-01,1982-08-31,1959-01-01,2018-12-31,21915,8644
54408,涿鹿,河北,一般站,115.21666666666667,40.38333333333333,529.6,3210,2,2,1978-01-01,2018-12-31,1960-01-01,2018-12-31,21550,14975
54410,佛爷顶,北京,一般站,116.13333333333334,40.6,1224.7,3211,1,1,1978-01-01,2018-12-31,1978-01-01,2018-12-31,14975,14975
54412,汤河口,北京,一般站,116.63333333333334,40.733333333333334,331.6,3213,2,2,1982-09-01,2018-12-31,1974-01-01,2018-12-31,16436,13271
54416,密云,北京,基准站,116.83333333333333,40.38333333333333,71.6,3215,4,2,1959-06-01,1982-08-31,1957-01-01,2018-12-31,22645,8493
54419,怀柔,北京,一般站,116.63333333333334,40.36666666666667,75.7,3222,5,5,1996-07-01,2018-12-31,1959-03-01,2018-12-31,21856,8219
54420,滦平,河北,一般站,117.33333333333333,40.93333333333333,535.1,3226,5,4,1982-05-01,2006-12-31,1959-01-01,2018-12-31,21915,9011
54421,上甸子,北京,一般站,117.11666666666666,40.65,293.3,3232,5,5,2003-01-01,2018-12-31,1958-01-01,2018-12-31,22280,5844
54423,承德,河北,基本站,117.83333333333333,40.96666666666667,375.2,3234,6,2,1954-11-01,1980-12-31,1951-01-01,2018-12-31,24837,9558
54424,平谷,北京,一般站,117.1,40.15,28.1,3243,6,5,1979-09-01,2005-12-31,1959-01-01,2018-12-31,21915,9619
54425,兴隆,河北,一般站,117.48333333333333,40.416666666666664,582.3,3249,7,5,1982-04-01,1997-06-30,1960-01-01,2018-12-31,21550,5570
54428,蓟县,天津,一般站,117.4,40.03333333333333,15.7,3255,5,4,1980-01-01,2016-12-31,1957-01-01,2018-12-31,22645,13515
54429,遵化,河北,基本站,117.95,40.2,54.9,3257,1,1,1956-01-01,2018-12-31,1956-01-01,2018-12-31,23011,23011
54430,承德县,河北,一般站,118.15,40.766666666666666,268.2,3260,5,3,1982-05-01,2000-05-31,1961-01-01,2018-12-31,21184,6606
54431,通州,北京,一般站,116.63333333333334,39.916666666666664,43.3,3268,6,5,1995-01-01,2015-12-31,1955-01-01,2018-12-31,23376,7670
54432,宽城,河北,一般站,118.48333333333333,40.6,304.7,3272,5,3,1993-05-01,2014-12-31,1965-01-01,2018-12-31,19723,7915
54433,朝阳,北京,一般站,116.48333333333333,39.95,35.3,3281,8,7,1989-01-01,2006-12-31,1959-01-01,2018-12-31,21915,6574
54434,迁西,河北,一般站,118.3,40.15,106.0,3284,4,2,1966-12-01,2004-04-30,1965-01-01,2018-12-31,19723,13666
54436,青龙,河北,基本站,118.88333333333334,40.4,227.2,3287,4,1,1957-01-01,1980-12-31,1957-01-01,2018-12-31,22645,8766
54437,滦南,河北,一般站,118.66666666666667,39.5,15.9,3291,3,1,1966-07-01,2003-06-30,1966-07-01,2018-12-31,19177,13514
